theme_id,label,lookback_days,horizon_days,obs,first_date,last_date,leader_count,follower_count,pearson_ic,spearman_ic,base_avg_future_pct,top_quintile_avg_future_pct,top_minus_base_pct,avg_lag_gap_pct,event_count,event_avg_after_cost_pct,event_median_after_cost_pct,event_hit_rate,event_threshold_leader_pct,event_threshold_gap_pct,round_trip_cost_pct
ai_server_power_thermal,AI伺服器/電源/散熱,10,20,4992,2006-06-06,2026-04-23,6,8,0.127505,0.123054,2.032289,3.895925,1.863636,0.536166,704,2.775826,2.178240,0.640625,5.000000,5.000000,0.300000
shipping_freight,航運/貨櫃/散裝/油輪,10,40,5043,2006-06-06,2026-03-24,8,6,0.084404,0.001022,3.511854,5.303151,1.791297,-0.131658,363,2.750580,-1.021176,0.462810,5.000000,5.000000,0.300000
pcb_abf_ccl,PCB/ABF/CCL,40,20,4968,2006-07-17,2026-04-23,4,9,0.162608,0.079149,1.987864,4.185081,2.197217,1.288267,1324,2.715354,2.278448,0.624622,5.000000,5.000000,0.300000
ai_server_power_thermal,AI伺服器/電源/散熱,40,20,4962,2006-07-18,2026-04-23,6,8,0.149635,0.118921,2.019474,4.381830,2.362356,2.384133,1508,2.709476,2.440448,0.662467,5.000000,5.000000,0.300000
healthcare_glp1_cdmo,醫藥/GLP-1/CDMO,5,20,5067,2006-05-29,2026-04-23,6,9,0.035111,0.053965,2.299649,2.979463,0.679814,-0.189396,45,2.677522,1.763269,0.600000,5.000000,5.000000,0.300000
power_grid_transformer,重電/變壓器/電網,5,20,5006,2006-05-29,2026-04-23,8,7,0.052549,0.070519,1.775436,2.499796,0.724359,-0.020355,156,2.634865,1.246019,0.564103,5.000000,5.000000,0.300000
memory_hbm,記憶體/HBM/儲存,40,20,5119,2006-07-19,2026-04-24,4,10,0.122434,0.117114,2.312489,4.379428,2.066938,0.250481,1014,2.549823,1.719764,0.579882,5.000000,5.000000,0.300000
banks_rates_insurance,金融/銀行/保險/利率,40,40,4971,2006-07-18,2026-03-24,8,6,-0.008678,0.000357,1.878869,2.976400,1.097531,0.145645,693,2.527314,2.989752,0.708514,5.000000,5.000000,0.300000
shipping_freight,航運/貨櫃/散裝/油輪,5,40,5048,2006-05-29,2026-03-24,8,6,0.073994,0.027044,3.508701,5.858332,2.349632,-0.083270,169,2.502847,-1.056206,0.467456,5.000000,5.000000,0.300000
defense_aerospace,軍工/航太/造船,10,40,5136,2006-06-05,2026-03-25,7,7,0.032772,0.009346,2.702552,2.715837,0.013285,0.167946,196,2.495218,2.722945,0.632653,5.000000,5.000000,0.300000
defense_aerospace,軍工/航太/造船,10,20,5157,2006-06-05,2026-04-23,7,7,0.059692,0.028004,1.355938,1.843371,0.487434,0.171932,198,2.455110,2.002814,0.686869,5.000000,5.000000,0.300000
banks_rates_insurance,金融/銀行/保險/利率,20,40,4991,2006-06-20,2026-03-24,8,6,-0.007368,-0.034724,1.863496,2.621629,0.758133,0.102337,387,2.377255,2.060474,0.687339,5.000000,5.000000,0.300000
healthcare_glp1_cdmo,醫藥/GLP-1/CDMO,10,20,5060,2006-06-05,2026-04-23,6,9,0.036615,0.041672,2.327792,2.844627,0.516835,-0.412921,169,2.376799,2.360496,0.633136,5.000000,5.000000,0.300000
ai_server_power_thermal,AI伺服器/電源/散熱,20,20,4982,2006-06-20,2026-04-23,6,8,0.147849,0.131969,2.022894,3.744486,1.721592,1.116127,1087,2.357795,1.983488,0.637534,5.000000,5.000000,0.300000
power_grid_transformer,重電/變壓器/電網,10,20,5001,2006-06-05,2026-04-23,8,7,0.046259,0.068709,1.776031,2.444176,0.668145,-0.008972,384,2.345078,1.469486,0.666667,5.000000,5.000000,0.300000
power_grid_transformer,重電/變壓器/電網,20,40,4970,2006-06-19,2026-03-24,8,7,-0.020170,-0.002995,3.628137,3.166528,-0.461608,-0.100904,743,2.331045,1.867021,0.590848,5.000000,5.000000,0.300000
copper_industrial_metals,銅/工業金屬/線纜,40,20,5131,2006-07-17,2026-04-23,6,8,0.089739,0.070350,1.311712,2.268881,0.957168,0.700958,1312,2.320416,2.380457,0.625000,5.000000,5.000000,0.300000
shipping_freight,航運/貨櫃/散裝/油輪,10,20,5063,2006-06-06,2026-04-23,8,6,0.081001,0.031409,1.665389,2.826046,1.160657,-0.120768,363,2.319366,0.439580,0.520661,5.000000,5.000000,0.300000
banks_rates_insurance,金融/銀行/保險/利率,5,20,5026,2006-05-29,2026-04-23,8,6,-0.005815,-0.013171,0.948672,0.987564,0.038893,0.025547,65,2.317578,2.249194,0.615385,5.000000,5.000000,0.300000
copper_industrial_metals,銅/工業金屬/線纜,20,20,5151,2006-06-19,2026-04-23,6,8,0.048815,0.040414,1.305009,2.275059,0.970050,0.360790,918,2.277979,2.124778,0.577342,5.000000,5.000000,0.300000
passive_components,被動元件/MLCC/電阻電容,10,20,4994,2006-06-06,2026-04-23,4,7,0.123320,0.104497,1.776334,3.877142,2.100808,-0.093585,390,2.236141,1.715771,0.571795,5.000000,5.000000,0.300000
copper_industrial_metals,銅/工業金屬/線纜,5,20,5166,2006-05-29,2026-04-23,6,8,0.038852,0.040510,1.319071,1.926784,0.607713,0.106914,268,2.218756,2.267591,0.615672,5.000000,5.000000,0.300000
defense_aerospace,軍工/航太/造船,5,40,5142,2006-05-29,2026-03-25,7,7,0.027870,0.006048,2.703943,2.712859,0.008916,0.087332,56,2.216988,2.934507,0.625000,5.000000,5.000000,0.300000
memory_hbm,記憶體/HBM/儲存,10,10,5159,2006-06-07,2026-05-08,4,10,0.158915,0.147249,1.151483,3.274929,2.123446,0.092355,492,2.130823,1.403015,0.611789,5.000000,5.000000,0.300000
passive_components,被動元件/MLCC/電阻電容,40,20,4964,2006-07-18,2026-04-23,4,7,0.088239,0.093480,1.754523,3.275782,1.521259,-0.459219,965,2.042360,2.106571,0.631088,5.000000,5.000000,0.300000
optical_800g_cpo,光通訊/800G/CPO,40,5,4554,2008-03-06,2026-05-15,8,6,0.033499,0.057820,1.135837,1.551681,0.415844,-1.209399,1244,2.022070,0.462756,0.548232,5.000000,5.000000,0.300000
pcb_abf_ccl,PCB/ABF/CCL,20,10,4998,2006-06-19,2026-05-08,4,9,0.107801,0.067616,0.999658,2.586822,1.587163,0.660117,819,1.974556,1.432132,0.604396,5.000000,5.000000,0.300000
healthcare_glp1_cdmo,醫藥/GLP-1/CDMO,20,40,5027,2006-06-20,2026-03-24,6,9,-0.027204,-0.081571,4.905323,4.525808,-0.379515,-0.927149,414,1.916686,0.320917,0.516908,5.000000,5.000000,0.300000
copper_industrial_metals,銅/工業金屬/線纜,10,20,5161,2006-06-05,2026-04-23,6,8,0.036143,0.034824,1.323401,2.026447,0.703045,0.171368,500,1.877939,1.539438,0.584000,5.000000,5.000000,0.300000
shipping_freight,航運/貨櫃/散裝/油輪,5,20,5068,2006-05-29,2026-04-23,8,6,0.071617,0.055786,1.666605,3.116749,1.450144,-0.079308,169,1.848790,-0.098793,0.491124,5.000000,5.000000,0.300000
defense_aerospace,軍工/航太/造船,20,40,5126,2006-06-19,2026-03-25,7,7,0.021737,0.010514,2.701532,2.460616,-0.240916,0.352417,458,1.778787,2.197737,0.611354,5.000000,5.000000,0.300000
