theme_id,label,lookback_days,horizon_days,obs,first_date,last_date,leader_count,follower_count,pearson_ic,spearman_ic,base_avg_future_pct,top_quintile_avg_future_pct,top_minus_base_pct,avg_lag_gap_pct,event_count,event_avg_after_cost_pct,event_median_after_cost_pct,event_hit_rate,event_threshold_leader_pct,event_threshold_gap_pct,round_trip_cost_pct
power_grid_transformer,重電/變壓器/電網,10,20,5001,2006-06-05,2026-04-23,8,7,0.046259,0.068709,1.776031,2.444176,0.668145,-0.008972,215,2.472190,1.782839,0.706977,5.000000,5.000000,0.300000
copper_industrial_metals,銅/工業金屬/線纜,5,20,5166,2006-05-29,2026-04-23,6,8,0.038852,0.040510,1.319071,1.926784,0.607713,0.106914,214,2.471074,2.791729,0.626168,5.000000,5.000000,0.300000
optical_800g_cpo,光通訊/800G/CPO,20,5,4573,2008-01-29,2026-05-15,8,6,0.060145,0.084338,1.132262,3.527135,2.394872,-0.814542,513,2.390726,0.598499,0.576998,5.000000,5.000000,0.300000
pcb_abf_ccl,PCB/ABF/CCL,20,10,4998,2006-06-19,2026-05-08,4,9,0.107801,0.067616,0.999658,2.586822,1.587163,0.660117,524,2.256291,1.700171,0.637405,5.000000,5.000000,0.300000
copper_industrial_metals,銅/工業金屬/線纜,40,20,5131,2006-07-17,2026-04-23,6,8,0.089739,0.070350,1.311712,2.268881,0.957168,0.700958,836,2.220960,2.352562,0.608852,5.000000,5.000000,0.300000
copper_industrial_metals,銅/工業金屬/線纜,20,20,5151,2006-06-19,2026-04-23,6,8,0.048815,0.040414,1.305009,2.275059,0.970050,0.360790,620,2.194359,2.223573,0.570968,5.000000,5.000000,0.300000
shipping_freight,航運/貨櫃/散裝/油輪,10,20,5063,2006-06-06,2026-04-23,8,6,0.081001,0.031409,1.665389,2.826046,1.160657,-0.120768,221,2.160687,0.735476,0.542986,5.000000,5.000000,0.300000
memory_hbm,記憶體/HBM/儲存,5,10,5166,2006-05-29,2026-05-08,4,10,0.112288,0.120152,1.134906,2.657032,1.522126,0.052538,162,2.091664,1.572456,0.592593,5.000000,5.000000,0.300000
power_grid_transformer,重電/變壓器/電網,5,10,5016,2006-05-29,2026-05-08,8,7,0.047861,0.050700,0.895180,1.237155,0.341975,-0.018623,88,2.086043,2.033190,0.659091,5.000000,5.000000,0.300000
defense_aerospace,軍工/航太/造船,5,20,5163,2006-05-29,2026-04-23,7,7,0.035869,0.019932,1.361715,1.589578,0.227863,0.086898,38,2.052885,1.337677,0.710526,5.000000,5.000000,0.300000
defense_aerospace,軍工/航太/造船,20,40,5126,2006-06-19,2026-03-25,7,7,0.021737,0.010514,2.701532,2.460616,-0.240916,0.352417,270,1.942820,1.973967,0.622222,5.000000,5.000000,0.300000
power_grid_transformer,重電/變壓器/電網,10,10,5011,2006-06-05,2026-05-08,8,7,0.060085,0.059270,0.899768,1.377113,0.477345,-0.002331,215,1.908845,1.830595,0.693023,5.000000,5.000000,0.300000
memory_hbm,記憶體/HBM/儲存,40,10,5129,2006-07-19,2026-05-08,4,10,0.128310,0.111281,1.143642,2.957401,1.813760,0.260280,619,1.876969,0.822883,0.584814,5.000000,5.000000,0.300000
power_grid_transformer,重電/變壓器/電網,20,40,4970,2006-06-19,2026-03-24,8,7,-0.020170,-0.002995,3.628137,3.166528,-0.461608,-0.100904,431,1.846007,1.183999,0.570766,5.000000,5.000000,0.300000
healthcare_glp1_cdmo,醫藥/GLP-1/CDMO,10,20,5060,2006-06-05,2026-04-23,6,9,0.036615,0.041672,2.327792,2.844627,0.516835,-0.412921,68,1.844320,2.620971,0.617647,5.000000,5.000000,0.300000
passive_components,被動元件/MLCC/電阻電容,10,10,5004,2006-06-06,2026-05-08,4,7,0.123507,0.101539,0.907389,2.260281,1.352892,-0.081782,195,1.837507,1.075875,0.548718,5.000000,5.000000,0.300000
pcb_abf_ccl,PCB/ABF/CCL,10,10,5008,2006-06-05,2026-05-08,4,9,0.083312,0.071858,0.989475,2.209721,1.220246,0.295864,285,1.791005,1.348878,0.589474,5.000000,5.000000,0.300000
passive_components,被動元件/MLCC/電阻電容,5,10,5009,2006-05-29,2026-05-08,4,7,0.103003,0.094168,0.895042,2.019795,1.124752,-0.052841,89,1.758455,0.522481,0.561798,5.000000,5.000000,0.300000
passive_components,被動元件/MLCC/電阻電容,5,5,5014,2006-05-29,2026-05-15,4,7,0.111220,0.086198,0.450820,1.282833,0.832013,-0.055345,89,1.729217,1.210626,0.617978,5.000000,5.000000,0.300000
banks_rates_insurance,金融/銀行/保險/利率,20,20,5011,2006-06-20,2026-04-23,8,6,-0.010642,-0.027355,0.944972,1.284960,0.339989,0.109428,243,1.698290,1.566129,0.679012,5.000000,5.000000,0.300000
memory_hbm,記憶體/HBM/儲存,20,5,5155,2006-06-20,2026-05-15,4,10,0.157703,0.131715,0.569981,1.819625,1.249645,0.170828,487,1.683830,0.737288,0.570842,5.000000,5.000000,0.300000
defense_aerospace,軍工/航太/造船,20,20,5147,2006-06-19,2026-04-23,7,7,0.054614,0.023949,1.329323,1.610998,0.281675,0.364260,270,1.678413,2.004250,0.651852,5.000000,5.000000,0.300000
pcb_abf_ccl,PCB/ABF/CCL,40,10,4978,2006-07-17,2026-05-08,4,9,0.116834,0.045051,0.996838,2.194426,1.197588,1.356133,792,1.666515,1.337568,0.621212,5.000000,5.000000,0.300000
ai_server_power_thermal,AI伺服器/電源/散熱,5,10,5007,2006-05-29,2026-05-08,6,8,0.095898,0.080334,0.992182,1.754006,0.761825,0.284756,252,1.659494,1.545397,0.658730,5.000000,5.000000,0.300000
