playlist_index,video_id,title,duration_string,url,has_transcript,subtitle_language,topic_tags
87,IVj-KNEeGcE,美國工程師薪水居然這麼高？理科刻板印象！約會地獄！不會就硬幹！feat.@HackBear 泰瑞,1:02:42,https://www.youtube.com/watch?v=IVj-KNEeGcE,yes,zh,security|macro|trading
88,vcKq_CO9HA0,最簡單存到「1顆比特幣」的方法！DCA定投機器人怎麼用？【邦妮區塊鏈】,9:35,https://www.youtube.com/watch?v=vcKq_CO9HA0,yes,zh,bitcoin|institutional|macro|trading
89,vv56d_TbpZo,Traditional Investing Is Dead｜ Jeff Park｜Bonnie Blockchain,47:52,https://www.youtube.com/watch?v=vv56d_TbpZo,yes,en-orig,bitcoin|macro|trading
90,eaICQGQykTg,Crypto Mom Reveals the Truth Behind the U.S. Stablecoin Bill | Hester Peirce    |Bonnie Blockchain,30:20,https://www.youtube.com/watch?v=eaICQGQykTg,yes,en-orig,stablecoin|tokenization|security
91,_Ksl4olU09A,Bitcoin’s Most Important Four Seasons Cycle｜ Michael Terpin｜Bonnie Blockchain,42:45,https://www.youtube.com/watch?v=_Ksl4olU09A,yes,en-orig,bitcoin|institutional|macro|trading
92,-WASuqLT40g,Why Most Investors Lose Money in Crypto: Behavioral and Structural RisksBen Cowen| Bonnie Blockchain,35:55,https://www.youtube.com/watch?v=-WASuqLT40g,yes,en,bitcoin|trading
93,LewHg7Sf7aY,How Bitcoin Reshapes Corporate Finance and Investor Strategy│ Rich Rines │ Bonnie Blockchain,57:36,https://www.youtube.com/watch?v=LewHg7Sf7aY,yes,en,bitcoin|institutional|tokenization|macro|trading
94,fJ4HKFNCKBo,大印鈔時代來臨！請你一定要準備好！【邦妮區塊鏈】,15:49,https://www.youtube.com/watch?v=fJ4HKFNCKBo,yes,zh,bitcoin|stablecoin|macro|trading
95,q5tVEYKD6Sg,Deep Dive: Metaplanet’s Approach to Bitcoin and Corporate Treasury ｜Simon GerovichBonnie｜Blockchain,42:10,https://www.youtube.com/watch?v=q5tVEYKD6Sg,yes,en,bitcoin|institutional|macro|trading
96,0n6gREnvixo,19分鐘看完美元歷史！戰爭、黃金、石油、比特幣、穩定幣！下一步是...？【邦妮區塊鏈】,19:59,https://www.youtube.com/watch?v=0n6gREnvixo,yes,zh,bitcoin|stablecoin|institutional|security|macro|trading
97,Bpxqj7w1pRQ,“Billionaire Twins Don’t Buy a House — Rent Instead!”｜GrantCardone‬｜‪Garycardone｜Bonnie Blockchain,54:51,https://www.youtube.com/watch?v=Bpxqj7w1pRQ,yes,en,bitcoin|macro
98,SfmJkZg5I6Q,元老：以太坊可能會死！這世界就是草台班子！東方視角解讀幣圈局勢！【邦妮區塊鏈】,1:07:26,https://www.youtube.com/watch?v=SfmJkZg5I6Q,yes,zh,bitcoin|stablecoin|tokenization|security|macro|trading
99,JLRVzNbQRYA,Most of Your Altcoins Will NOT Go Up in Price Again｜ Arthur Hayes｜Bonnie Blockchain,28:29,https://www.youtube.com/watch?v=JLRVzNbQRYA,yes,en,bitcoin|institutional|macro|trading
100,x3blxCG8X6U,Stock Market Crash Incoming! ｜Jack Mallers｜Bonnie Blockchain,42:59,https://www.youtube.com/watch?v=x3blxCG8X6U,yes,en,bitcoin|tokenization|macro|trading
